Group_clinical,ROI,Tissue,n_obs,n_subjects,status,converged,intercept,intercept_se,slope,slope_se,slope_z,slope_p,slope_ci_low,slope_ci_high,mean_bl_group,pct_5y,pct_5y_ci_low,pct_5y_ci_high,pct_3y,pct_3y_ci_low,pct_3y_ci_high,p_fdr_tissue,sig_star_tissue,residual_var,random_intercept_var
Pasient,Entorhinal cortex,cortical,201,67,ok,True,3.65470567017,0.226640249318,-0.00171207320392,0.00403916502598,-0.423868099695,0.671662009982,-0.00962869118245,0.00620454477461,3.03739412166,-0.281832573473,-1.5850489382,1.02138379125,-0.169099544084,-0.951029362917,0.61283027475,0.694603486875,n.s.,0.0143390686356,0.0586569613128
Pasient,Lingual gyrus,cortical,201,67,ok,True,1.89578551616,0.0674247051937,-0.00517187806734,0.00180876195473,-2.85934699911,0.00424514143966,-0.00871698635521,-0.00162676977947,1.92848537204,-1.340917111,-2.26007716341,-0.421757058588,-0.804550266598,-1.35604629804,-0.253054235153,0.00849028287932,**,0.00287590626655,0.00463982397402
Pasient,Parahippocampal gyrus,cortical,201,67,ok,True,3.09621634719,0.176336692132,-0.00435664322832,0.0029716949876,-1.46604656484,0.142635601579,-0.0101810583771,0.00146777192042,2.46155433422,-0.884937449431,-2.06803588742,0.298160988561,-0.530962469659,-1.24082153245,0.178896593137,0.213953402369,n.s.,0.00776139833383,0.0358237881921
Pasient,Precuneus,cortical,201,67,ok,True,2.47453238685,0.0936717617883,-0.0101098898032,0.00211541310755,-4.77915626366,1.76032344481e-06,-0.0142560233064,-0.00596375629994,2.2663339567,-2.23045014466,-3.14518949244,-1.31571079689,-1.3382700868,-1.88711369546,-0.789426478131,5.28097033443e-06,***,0.00393335744201,0.0095105101156
Pasient,Superior frontal,cortical,201,67,ok,True,2.93810574222,0.0984632855509,-0.0150298911701,0.00216386218153,-6.94586341887,3.76152558373e-12,-0.0192709831134,-0.0107887992268,2.52904868255,-2.97145153311,-3.80994268297,-2.13296038324,-1.78287091987,-2.28596560978,-1.27977622995,2.25691535024e-11,***,0.0041155514689,0.0105874845821
Pasient,Accumbens,subcortical,201,67,ok,True,0.000562843672816,4.07522576251e-05,-2.68713806947e-06,6.5543086544e-07,-4.09980397805,4.13500223789e-05,-3.97175896008e-06,-1.40251717885e-06,0.000318294158209,-4.22115518014,-6.23916974801,-2.20314061228,-2.53269310809,-3.7435018488,-1.32188436737,4.13500223789e-05,***,3.77555098859e-10,1.92602098626e-09
Pasient,Amygdala,subcortical,201,67,ok,True,0.00137168526324,0.000115485725206,-1.53889530218e-05,1.47676116356e-06,-10.4207460228,1.99383053345e-25,-1.82833517161e-05,-1.24945543275e-05,0.00101840666716,-7.5554066553,-8.97647545517,-6.13433785543,-4.53324399318,-5.3858852731,-3.68060271326,5.98149160034e-25,***,1.91658013021e-09,1.58501856764e-08
Pasient,Caudate,subcortical,201,67,ok,True,0.00209750347687,0.000248274891214,-1.40636193774e-05,2.2319722844e-06,-6.30098298069,2.95763872642e-10,-1.84382046693e-05,-9.68903408546e-06,0.0022541537,-3.11948989489,-4.08984645874,-2.14913333105,-1.87169393694,-2.45390787524,-1.28947999863,4.43645808964e-10,***,4.37794679065e-09,7.47938702424e-08
Pasient,Hippocampus,subcortical,201,67,ok,True,0.00384092474004,0.000234778437662,-2.93948610064e-05,2.23997808944e-06,-13.1228341674,2.43649438365e-39,-3.37851373879e-05,-2.50045846249e-05,0.00248512525522,-5.91416085459,-6.79748797182,-5.03083373736,-3.54849651275,-4.07849278309,-3.01850024242,1.46189663019e-38,***,4.40943071022e-09,6.67134128429e-08
Pasient,Putamen,subcortical,201,67,ok,True,0.00374476333569,0.000320978415474,-2.28083364067e-05,4.13102080016e-06,-5.52123494652,3.36625309221e-08,-3.09049883944e-05,-1.4711684419e-05,0.0029287072403,-3.893925636,-5.27624215042,-2.51160912158,-2.3363553816,-3.16574529025,-1.50696547295,4.03950371065e-08,***,1.49976368941e-08,1.22375748226e-07
Pasient,Thalamus,subcortical,201,67,ok,True,0.0071561588137,0.000337214630687,-3.34734670962e-05,4.29232506859e-06,-7.79844642735,6.26739493589e-15,-4.18862696406e-05,-2.50606645518e-05,0.00450528827164,-3.71490846733,-4.64858425312,-2.78123268154,-2.2289450804,-2.78915055187,-1.66873960893,1.25347898718e-14,***,1.61916925336e-08,1.35193379116e-07
